S.no,Group,Department,Designation,Functional Requirements,Category of Disabilities - A,Category of Disabilities - B,Category of Disabilities - C,Category of Disabilities - D,Category of Disabilities - E,  Nature of work  ,Working conditions,Column1
27,D (Fourth Level),Estate and Maintenance,Monument attendent,"Sitting, Standing, Walking, Bending, Manipulation with Fingers, Reading & Writing, Seeing, Hearing, Communication",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)","Maintains cleanliness of instruments and surroundings of the
workshop. Helps other staff in the installation and movements
of the instruments.","The work is performed
mostly inside. Mobility
and bilateral hand
activities should be adequate. Incumbent
should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary.",TRUE
28,D (Fourth Level),Estate and Maintenance,Liftman,"Sitting, Standing, Walking, Manipulation with Fingers, Seeing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)",Operates and maintains lift.,"The work is performed
mostly inside. Bilateral
hand activities should be
adequate. Incumbent
should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary.",TRUE
29,D (Fourth Level),Estate and Maintenance,Lift Operator,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)",Operates and maintains lift.,"The work is performed
mostly inside. Bilateral
hand activities should be
adequate. Incumbent
should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary.",TRUE
30,B (Two Level),Agriculture,Farm Manager,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Reading & Writing (RW), Seeing (SE)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)",To manage and supervise works in farm.,"Should have functional communication skill with assistive listening devices. Incumbent should be considered with suitable aids & appliances. Mobility and hand functions
should be adequate.",TRUE
31,B (Two Level),Agriculture,Assistant Extension Officer,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Reading & Writing (RW), Seeing (SE)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)","Preparation of Technical notes, leaflets and review of Agriculture and allied subjects scrutinize Agricultural Extension Programme.","The work is performed mostly inside. Incumbent should be considered with suitable aids &
appliances. Mobility and hand functions should be adequate.",TRUE
32,B (Two Level),Agriculture,Farm Superintendent,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)","To assess / arrange annual requirement of inputs liked seed manual, pesticides, supervising the operations, functioning of the farm, maintenance of accounts, stock and registers etc.
Assisting teachers, students and research schola in their field experiments.,","The work is performed mostly inside. The work place is well lighted and comfortable work in
office. Incumbent should be considered with appropriate software, aids & appliances
support as per needs.",TRUE
33,B (Two Level),Agriculture,Senior Scientific Assistant (Farm Management),"Sitting (S), Standing (ST), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Communication (C)",,"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)","Tea Garden Management, guiding the garden team for scientific plantation etc.,","Work is performed both outside and in the lab. Should have functional communication skill
with assistive listening devices.",TRUE
34,B (Two Level),Agriculture,Senior Technical Restorer,"Sitting (S), Standing (ST), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Communication (C)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)","Conservation of manuscripts, records of Central, State Govt. & Regional Institutions.","The work is performed inside and not hazardous in nature. Mobility and bilateral hand activities should be adequate. Incumbent should be considered with appropriate software, aids & appliances support as per needs.",TRUE
35,B (Two Level),Agriculture,Assistant Seed Officer,"Sitting (S), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)","Seed production, farm management & plant breeding research.","Work is laboratory Based Bilateral hand activities should be adequate. Incumbent should be
considered with appropriate software, aids & appliances support as per needs.",TRUE
36,B (Two Level),Agriculture,Quality Control Assistant,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)",To look after the quality of work of plant breeding.,"Work is performed both outside the office and inside the lab Bilateral hand activities should be adequate. Incumbent should be considered with appropriate software, aids & appliances
support as per needs.",TRUE
37,B (Two Level),Agriculture,Programme Assistant (Fisheries),"Sitting (S), Standing (ST), Walking (W), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Communication (C)",,"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)",To work under programme coordinator & Subject Matter Specialist.,"Work is performed both outside and in the lab. Bilateral hand activities should be adequate.
Incumbent should be considered with aids and appliances as per needs.",TRUE
